live the life;of a rock-star
getting caught;cheating
want to live;that life
much more;fun
tell you about;all the exotic cities
more interesting;read
most important;to me in life
opportunities come;and go
always there to;help you
to a;family
I work;so hard
expect you;to message me
often get;passed over
because we don't;stand out
one of the few;that
things that;make me unique
playing the;accordion
helping the elderly;at groceries
striving towards;happiness
in a;nutshell
taking the time to;read this
because most;people don't get this far
cheating on;their wives
being on;tour
it would make;for a much more interesting read
looking for;that
pay my;bills
the company of;my friends & family
like I was;a rock-star on tour
when you need;it
I wouldn't have to;
trying to find a;date
stored up on a;hard drive
things that make me;unique
If I contact;you
