I may not be;a supermodel
at least I;smell nice
saving the;world
being;awesome
not busy;'saving the world
spend my time;working as a bartender
working as;a bartender
I dream of;one day starting my own restaurant
starting my own;restaurant
I'd like to;be known for serving the most delicious peanut butter and jelly sandwiches on this side of the Mississippi...
be known for;serving the most delicious peanut butter and jelly sandwiches on this side of the Mississippi
this side of;the Mississippi
my mom's;secret recipe
you'll either;find me playing hockey
take our;act on the road
he needs to;brush up on his harmonies
brush up on;his harmonies
who enjoys;the outdoors
afraid to;step on the dancefloor
step on;the dancefloor
if you have;'two left feet'
training at the;Gangnam-Style School of Dance
how to;do the hokey pokey
drop me;a line
that's what my;grandma tells me
one of my greatest;passions
