my name's;Dave
According to;my sister
even though I;thought my dating life was
I've decided to;try something completely new
world of;online dating
work as a;unit clerk
I love my;job
connect with;people
comes with;many lifestyle perks
luxury of;going grocery shopping
very close to;my family
doing something;fun
with my;siblings
watching a;movie
an amazing;time
collecting;experiences
on a;trip to a foreign country
fancy new;car
likes to;seize opportunities
make the most;of every day
I value;honesty
kindness in a;partner
you're a;genuine person
lust for;life
the opportunity to;connect with people
it's a;beautiful thing
seize;opportunities
