brush my;own hair
mom isn't;at home
I can be;found sitting in an office cubicle
sitting in;an office cubicle
getting a;new high score on Candy Crush
getting a new;high score on Candy Crush
sipping on;a glass of Chardonnay
smell of;pop tarts
fly you to;Paris
we'll watch;Celine Dion perform live in concert
watch Celine Dion;perform live in concert
whisk you;away to a private beach resort
over the;glistening water
that doesn't;excite you
just grab;coffee
you are;Smart
if you;have over eight years of experience as a forklift operator
experience as;a forklift operator
watching re-runs of;Felecity
re-runs of;Felecity
glass of;Chardonnay
game of;rock-paper-scissors
just in time to;watch the sun set over the glistening water
