graduate of;Texas Christian University
my biggest;hobby
deep in;a book
passion of;mine
planning out;future adventures
travel through;South America
especially;Argentina
Something about;the culture
they make;fantastic wine
one of his;legs
but he's;still the cutest thing on the planet
the cutest thing;on the planet
I love;animals
someone who;shares this passion
out of;life
She enjoys;the outdoors
likes to;take a midnight stroll from time-to-time
if you enjoy;having thought-provoking conversation
enjoy having;thought-provoking conversation
give me;a shout
Post-Modern;Literature
I majored in;Post-Modern Literature
you'll find me;with my nose deep in a book
I have an;18 month old german shepherd
in a car;accident
she knows what;she wants out of life
take a midnight;stroll
If you can't;go 5 minutes without checking Facebook on your phone
we're probably not;a good match
we're probably;not a good match
afraid of;the occasional spirited debate
