a few things;about me
going on;vacation
a few random;tidbits
my greatest;passions
may involve;a small, Italian plumber named Mario
LOVE green;peppers
make me feel;so good inside
Especially on;a thin crust pizza
Halloween is;my favorite holiday
I make my;outfit
well in;costume competitions
a minor;Nutella
without my;older sister
when life;gets crazy
to do a;road trip
while standing;on one foot
free;drinks
how to;balance a bottle on my nose
with my;grandmother
serves as a;way to honor her memory
the best;band of all time
my name's;Jessica
keeps me;sane
road trip across;the United States
in an old;Volkswagon
way to honor;her memory
