absolutely no;interest in them
I have never;owned a goat
I've seen;them
I know;them word for word
I cry;every time
tends to;be really underground and alternative
no more;about it
cooler than;you
actually like;food
a mixture of;flour
but it's;purely ornamental
thinking about;the video for Put Yourself In My Place by Kylie Minogue
I find;it quite upsetting
addicted to;drugs
I tend to;think about scoring my next hit of delicious, delicious drugs
no interest in;them
A History Of;Goats
Cooking with;Gypsies'
Put Yourself In;My Place
In My;Place
floating in;the spacecraft
