this is;the worst bit
I am;relaxed
make them;smile
must be a;good thing
I am also;loyal
looking after;myself
going to;the gym
a few;beers
what is;around the corner
we all;have a good holiday
going to see;live music
seeing a;good comedian
I have been;single
I am a;weirdo
girl who;just makes life fall into place
makes life;fall into place
seem to have;found that amazing girl who just makes life fall into place
with the right;person
are you;out there
part of an;unhapppy couple
I am not;interested in crazy women who want to get married tomorrow
who want to;get married tomorrow
I have a good;job
my own;car
why not get;in touch
spending time with;my friends and family
visiting new;places
a full head;of hair
