I’ve been;living in the U.S
living in;the U.S.
my job as a;journalist
surprise of the;unknown
learn about;new places
who is off;at college
that sounds;new age
being able to;laugh at yourself
laugh at;yourself
staying;healthy
social;issues
freedom to;think out of the box
talking with;people
somone with;her own life
with a strong;personality
compromises that;life sometimes requires
who isn’t;too thin
laugh at;herself
Originally from;Australia
father of;a grown son
keep up with;many things–politics
No smokers;
