taking care of;others
that sounds;cheesy
really hard to;brighten the day of everyone I meet
how they;are
It is always;possible
most influential person;in my life has been
He gave me;my curious nature
taught me to;always think of others first
always think of;others first
she was the most;precious and important part of his life
in all my;relationships
I can be;forthright
when I need to;be
how to get;what I want
getting swept;up in a new relationship
connecting on;a deep level
chemistry and;attraction
making people;smile
Be kind;whenever possible
beloved by;everyone he met
for over;60 years
married for;over 60 years
married for;over 60 years until he died
more than just;chemistry and attraction
