to see;who is out there
I really enjoy;meeting people in the real world
I'd like to find;that beautiful type of relationship
life can be;shared on a deeper level
looking for someone who;is genuine
has a good;sense of humor
An ideal;long-term relationship
easy to;maintain
friends and;family
love to;try new things
I am smart;
I am a;true man's man
how to;treat a lady
very close;with my family and friends
have ideas;for a few more
my own;sailboat manufactoring
bringing your own;idea to life
up for;trying new things
In fact, I;thrive on it
I love;traveling
afraid to;take risks
In fact, I;thrive on it
Do you;love to travel
have any;level of interest
a woman who;initiates
meeting people in;the real world
being;genuine
contains;laughter
my family and;friends
I get to do;many creative things
I get to;do many creative things
hoping to go back;to Milan
Let's see;where it goes
