things I couldn’t;live without
creative and;spontaneous
My awesome;friends
live the life;I want
Please proceed to;your gate for departure
visit every;continent
getting the most;out of life
picking up a new;sport
if you are;fun-loving
looking for in a;person
someone who is;in love with life
open to;exploring all its possibilities
someone who wants to;join me on my many adventures
to start a;family
thanks for;stopping by
I’ve been bitten;HARD by the travel bug
I’m working on;Antarctica
it was;wicked
Travel is;a really big part of my life
to raise a;couple of beautiful, multilingual, adventurous kids
