myself as;confident
I’m a very;humble man
time to;give
not being;walked on
I believe in;being the best man I can be
a way into;the music business
find a woman to;love
the beauty that;is life
raised by a;single mother
how important it is to;treat a woman right
how to;have inner strength
how to have;inner strength
not to get;walked on
covered in;tattoos
it’s made me a;much stronger man
cause there’s;some really beautiful people
ABOUT;ME:
I’m always;there for my friends and loved ones
there for;my friends and loved ones
what a;cool guy
It’s not about;attention for me
attention for;me
the importance of;ones own honor and respect for those around him
respect for;those around him
WHAT MAKES;ME DIFFERENT
WHAT MAKES ME;DIFFERENT
I’m a TRUE;heavy metal fan
I’m a huge;Heavy Metal fan
passionate about;the tattooed and heavy metal communities
passionate about the;tattooed and heavy metal communities

