who enjoys;spending time with friends
I have;three sisters
surfing during;the high tides
I am not very;hard to please
dinner for;everyone
be in a;good mood
stimulating;conversation
I am not very;hard to please
spending;quality time with my significant other
I am a;happy guy
you should always;treat others how you would like to be treated
woman that;is fun loving and spontaneous
sense of;humor
require;effort
willingness to;make certain compromises
see what;this site is all about
getting my family;together
remain;positive
I believe in;karma
