a lot about;your personality
about your;personality
I am in the;corporate world
never take;anyone for granted
even when;I plan to be
If I'm;feeling lucky
I'm feeling;lucky
I've been called;a walking Shazaam (the music service...I can't grant wishes)
been called a;walking Shazaam (the music service...I can't grant wishes)
can't grant;wishes
always up for;a good opera
a good;opera
I have run;two marathons
traveled to;new
snowboarded in;Colorado
like to be;on the move
hearing from;girlfriends
Let's make;it happen
If you fit;that description
your favorite;Sesame Street character
