Hello to;everyone reading this
I'm new to;the online dating scene
bad things about;it
finding out;all the facts
the facts;on my own
want to move;slowly back into dating
back into;dating
If you are;someone who likes to take things slow and use their slow cooker
who likes to;take things slow
use their;slow cooker
who knows what;they are doing
try it with;someone who knows what they are doing
to learn;new things
list of things;I'd like to accomplish by the end of the year
by the end of;the year
who wants to;learn new hobbies and interests from each other
chef by;profession
dabbling in;paint
ceramics and;anything unusual
you are a;risk-taker
receiving a message;from you
Tell me what;you find risky
watch out for;that storm
