who enjoys;meeting new people
am a lot;of fun
am a lot of;fun
Online dating has;been quite the adventure
still looking for;that special someone
looking for someone;genuine
love to;laugh
make me;laugh
speaking to;you
take life;seriously
time to;enjoy the finest pleasures
enjoy the;finest pleasures
your idea of;having fun
I am not;working in the week
have someone;accompany me
an evening of;taking in the local comedy scene
Drop me;an email
and we'll;chat soon
I'm your;man
patience for;people who pretend to be something they are not
people who;pretend to be something they are not
sitting in;front of a fireplace
in front of a;fireplace
taking in the;outdoors
