lost in;conversation with
moments of;comfortable silence
in each others';arms
I love to;laugh and joke around
laugh and;joke around
My job is;awesome
I know when;I come home that this is where my priorities and true happiness are
this is where;my priorities and true happiness are
share my;passions
want to share;my passions
expect the;same from you
If you are;Christian
enjoy;children
enjoy the;outdoors
a verse that;says
he shall give;you the desires of your heart
the desires of;your heart
well into;our golden years
