My name is;Jenna
and I’m;24 years old
I never pictured;myself as the online dating type
I’m a very;busy person
I don’t have;a lot of time to go out and meet people
I don’t have a;lot of time to go out and meet people
go out and;meet people
So here I;am
I work as;a Vets assistant
I do have to;put thermometers up butts
But that’s;a plus for you
I can take;your temp very easily
fan of;cooking
love to;eat
Eating is;one of my favorite hobbies of all time
looking for someone who;can feed me and eat with me constantly
I must say I;make some pretty delicious toaster strudels upon request
great at;boiling water
I have 2;dogs
they are like;my children
if you don’t;approve
get rid of;them
I choose;dogs
while my;boo cooks
I’m a great;singer
when no one;else is around
People who chew;too loudly
People who;chew too loudly
Men who;don’t cook
Men who don’t;cook
