I have been a;runaway bride
I have been;a runaway bride
not cut out for;this ‘until death do us part thing’
until death;do us part thing
until we both;get on each others nerves
plotting our;escapes
That may sound;bad
how many people;do you know that are happily married
I don’t know;very many that are happily married
a believer in;being faithful to one another
being faithful to;one another
the thought of;sharing a home
As long as;you’re not bossy or rude
As long as you’re;not bossy or rude
don’t ask me to;marry you
I’m definitely not a;commitment phobe
definitely not a;commitment phobe
don’t believe in a;silly piece of paper
don’t believe in;a silly piece of paper
if you think you;are a perfect match for me go ahead and send me a message
go ahead and;send me a message
I’m still;single
ready to;mingle
