begin with;strong coffee
maybe a;Netflix episode
when I finish;a big, challenging project
annoyed at;myself
but I'm;working on that.
peek inside;my fridge
types of;cheese
leftovers from;last night's Thai takeout
I feel;calm
try to;get out there
driver is;going too fast and aggressively
number one;goal
I’ll;share more
I have;very beautiful eyes (greenish-blue)
being in;a relationship
realize that;staying in
that you can;imagine
I tend to;ask a lot of questions
want to know;what was the best part of your day
hiking in;the middle of the forest
in the middle of;the forest
finish writing;my next book
ask me about;it
I give;pretty epic hugs
favorite thing about;being in a relationship
If we go;on a date
What's the best;birthday cake you've ever eaten
If you write;to me
write to;me
what was the best;part of your day, so far
what was the;best part of your day, so far
what was;the best part of your day, so far
