definitely not;very down to earth
show up at;your house unexpectedly 
I have a great;fear of heights
great fear of;heights
fear of;heights
don’t worry about;my climbing up any fire escapes
worry about my;climbing up any fire escapes
climbing up;any fire escapes
thing that keeps;me going
It’s the only;thing that keeps me going throughout the day
urge to;do everything properly
urge to do;everything properly
to do everything;properly all of the time
don’t have time for;mistakes
time for;mistakes
don’t make;me regret it
