a little bit;lazy
I’m easy;going
I get over;anything
I should be;on Masterchef
I should be on;Masterchef
driving my;car
I take time;when I do things
I believe in;having a free spirit
having a;free spirit
keeping things;simple
take no;shit from anyone
take no;shit
things by;my own book
in my own;time
Someone who isn’t;crazy
Someone who;isn’t crazy
open minded about;the things they do in life
people who;have goals in life
people who have;goals in life
if you can’t;plan for the next five years
plan for;the next five years
plan for the;next five years
you know where;the ‘next button’ is
