I have scaled;Mount Everest
stood on the;summit
having goose;bumps
Is it cold;or is it cold
Is it cold or;is it cold
It's to;die for
I have a knack for;talking my head off most times
talking my;head off most times
my moments of;speechlessness
my first;scuba diving
This being a;profile
list a few of;my qualities
I'm physically;fit
run from;adversity
the face of;danger
I tend to get;a little cranky 
without any;activity/adventure
Been to;Nepal to scale Everest
to share my;life and adventures with
if you can;relate to any of the above
if you share a;few qualities
