I am a working;professional
You must have a;job 
must have;a job 
your own;place
I am not much of a;t-shirt and jeans kind of girl
I always dress;to impress
let my hair;down
let my;hair down
I cannot be;with someone who does not have a job or any career aspirations
with someone who does;not have a job or any career aspirations
attracted to;people who have their eye on the prize
people who have;their eye on the prize
people who know;what they want and do what it takes to make things happen
what it takes to;make things happen
We do not need to;have everything in common
have everything in;common
passionate about;something
someone who thinks;about the future 
someone who thinks about;the future 
strive to be;better
someone who can;do this for you
someone who can do;this for you
