I tend to;agree
My dog thinks;I’m pretty awesome 
looking for someone that;I can laugh and enjoy life with
I don’t take;myself too seriously 
dance like;nobody else is there
what is so special about;me
Do I own;more than one pair of dress pants
more than one pair of;dress pants
can I finish;a whole pizza pie in one sitting if I’m hungry enough
But here’ the;important stuff
I will always try;to make you giggle
Why am I on;a dating website
Why am I on a;dating website
I am tired of;bringing strangers of the streets as my plus ones to social events
strangers of the;streets
I might be;missing out on something
gets married and;has kids
see where;this goes
