Born and Raised in;Boston
I'm very;family oriented
I love to;go sky diving
hanging out;with friends
My dreams;are to flourish in my career
I enjoy;working in the medical industry
considering the;economy these days
don't mind;other genre's
In my;free time
getting drawn;into a good book
staring at the;night sky
mysteries of;the universe
don't smoke but;will have the occasional Cigar
woman I can;vibe with
who can;teach me new things
go from;there
stay clear of;any drama
try to stay;clear of any drama
own my own;business
working in the;medical industry
lucky to have a;job
I'm a music;junkie
I'm a;music junkie
looking for;a woman I can vibe with on a spiritual and intellectual level
Send me a;message
Send me;a message
we can go;from there
