Although I;was born in Kansas
the northern;states
I love the;outdoors
anything that;involves a sailboat
in my;life
I have been;in the travel business
more time to;travel
things to;do
learning about;different cultures
ways of;life
I will not;waste time with shallow interactions
waste time with;shallow interactions
relationships with;like minded people
having tons of;friends
A few good;friends
hard to;get to know someone
you should;message me
I just turned;31 years old
I was born in;Kansas
hobbies include;bird watching
I have a;parrot
enjoy the;important things in life
if you want to;get to know me better
