be grateful to;Brian
became the;highlight of my evening
highlight of;my evening
willing to;pass you this note
pass you;this note
I hope that you;remember me
I hope that;you remember me
the one with;the buzz cut
my mind was;on the tests we're running in my statistics class
Although we;didn't spend much time together at the party
find out that;we have a few things in common
a few things;in common
the differences between;a Tukey's test and an items analysis
who watched;Pride and Prejudice
who was proud;
need you to;explain to me exactly who was proud and who was prejudiced
and discuss;it
in the;campus cafeteria
to see if;you can make it
I hope you;don't mind
I'd really like;to see you again
I'd really;like to see you again
you are;unattached
want to;see me again
please be;kind
inviting me to;his party
we're running;
How many;girls today think that the graduate statistics class is interesting and something they want to talk about?
I was happy to;find one who was comfortable discussing the differences between a Tukey's test and an items analysis
guys who;watched Pride and Prejudice on public television
we could get;together
like to see;you
I may be;only dreaming
