Ever since;our first date
I've noticed;changes in my world
changes in;my world
Work at the;office
I'm getting more;accomplished
My boss has;noticed the changes
has been very;complimentary
I continue to;be pleasantly surprised
more about;you
there is still;so much that I'd like to know
spending more time;with you
help me to learn;more about you
we have so much;in common
happy that we;share so many similar opinions and experiences
broaden our;horizons
outlook on;life
I've lost interest;in seeing anyone else
I'm falling;in love with you
I hope we can;get together Friday evening
I'll call;you
I enjoy our;differences
share so many;similar opinions
share so many;similar opinions and experiences
