I think we're;doing okay
we're doing;okay
sorry about;this last disagreement
We hardly ever;fight
sincerely regretted;very quickly
forget about;it
I'm really;sorry
opinions on;some things
Don't you think;it would get boring
at least we;feel comfortable enough with each other to be honest and express our true opinions
express our;true opinions
We usually have;great communication
we don't always;agree
it's bound to;happen
try to;express ourselves calmly
say things we;regret
forget about;this whole thing
You know I;love you
it seems so;silly
I hope you can;forgive me
we have different;opinions on some things
feelings can;get hurt
